local_time,longwave_u,longwave_d,emis,lst
2010-07-30 11:30,NA,NA,0.96007,NA
2010-07-30 12:00,NA,NA,0.96007,NA
2010-07-30 12:30,435.7677,335.2653,0.96007,296.7887
2010-07-30 13:00,444.3703,333.4161,0.96007,298.3012
2010-07-30 13:30,433.57,370.3564,0.96007,296.1545
2010-07-30 14:00,427.9689,377.6826,0.96007,295.1069
2010-07-30 14:30,430.4046,361.2411,0.96007,295.6579
2010-07-30 15:00,425.0101,375.6108,0.96007,294.5917
2010-07-30 15:30,390.9035,372.362,0.96007,288.2892
2010-07-30 16:00,391.5429,361.0683,0.96007,288.498
2010-07-30 16:30,392.937,357.4181,0.96007,288.792
2010-07-30 17:00,392.7917,338.5879,0.96007,288.9076
2010-07-30 17:30,387.1795,320.5891,0.96007,287.9712
2010-07-30 18:00,383.5905,316.6859,0.96007,287.3087
2010-07-30 18:30,380.4194,313.3817,0.96007,286.7184
2010-07-30 19:00,378.4626,305.9295,0.96007,286.3946
2010-07-30 19:30,374.7889,302.5243,0.96007,285.7005
2010-07-30 20:00,371.7677,299.0057,0.96007,285.1315
2010-07-30 20:30,369.6013,296.8316,0.96007,284.7186
2010-07-30 21:00,367.6583,295.5082,0.96007,284.3418
2010-07-30 21:30,366.7889,293.5967,0.96007,284.1833
2010-07-30 22:00,366.1548,291.5171,0.96007,284.0729
2010-07-30 22:30,364.5003,291.1002,0.96007,283.7443
2010-07-30 23:00,363.0701,290.4976,0.96007,283.4612
2010-07-30 23:30,360.4306,288.7856,0.96007,282.9413
2010-07-31 00:00,359.1866,287.778,0.96007,282.697
2010-07-31 00:30,359.0945,288.13,0.96007,282.6754
2010-07-31 01:00,357.9545,288.4793,0.96007,282.4405
2010-07-31 01:30,357.069,287.055,0.96007,282.2714
2010-07-31 02:00,355.523,285.8177,0.96007,281.9654
2010-07-31 02:30,355.0641,286.4709,0.96007,281.866
2010-07-31 03:00,355.5742,286.0828,0.96007,281.9737
2010-07-31 03:30,352.9336,281.5942,0.96007,281.4682
2010-07-31 04:00,350.8766,280.3694,0.96007,281.0537
2010-07-31 04:30,349.9375,282.0794,0.96007,280.8451
2010-07-31 05:00,345.9936,280.7406,0.96007,280.0351
2010-07-31 05:30,344.6796,278.3851,0.96007,279.7796
2010-07-31 06:00,344.6075,276.635,0.96007,279.7791
2010-07-31 06:30,344.9704,276.852,0.96007,279.8534
2010-07-31 07:00,343.4359,276.2146,0.96007,279.5367
2010-07-31 07:30,342.8733,274.2131,0.96007,279.4351
2010-07-31 08:00,346.3909,272.873,0.96007,280.1837
2010-07-31 08:30,354.0427,274.2879,0.96007,281.7562
2010-07-31 09:00,362.7577,280.4707,0.96007,283.4789
2010-07-31 09:30,370.7409,285.7316,0.96007,285.033
2010-07-31 10:00,379.0063,292.174,0.96007,286.608
2010-07-31 10:30,387.3359,297.8667,0.96007,288.1755
2010-07-31 11:00,393.7758,300.4499,0.96007,289.3839
2010-07-31 11:30,399.6676,304.654,0.96007,290.4625
2010-07-31 12:00,404.2769,310.0417,0.96007,291.2825
2010-07-31 12:30,405.2964,331.3532,0.96007,291.3138
2010-07-31 13:00,407.8463,321.3986,0.96007,291.8597
2010-07-31 13:30,409.2956,319.247,0.96007,292.1429
