local_time,longwave_u,longwave_d,emis,lst
2014-01-01 00:30,422.1392,408.7115,0.95536,293.8477
2014-01-01 01:00,422.2928,398.6375,0.95536,293.9573
2014-01-01 01:30,419.7359,390.74,0.95536,293.556
2014-01-01 02:00,419.6202,403.1461,0.95536,293.4338
2014-01-01 02:30,418.6099,399.0527,0.95536,293.2825
2014-01-01 03:00,415.8351,377.8215,0.95536,292.9477
2014-01-01 03:30,415.7624,391.6569,0.95536,292.8209
2014-01-01 04:00,412.3473,364.3046,0.95536,292.4168
2014-01-01 04:30,409.9416,357.0613,0.95536,292.0317
2014-01-01 05:00,410.4474,388.0397,0.95536,291.8691
2014-01-01 05:30,411.6093,386.0518,0.95536,292.1009
2014-01-01 06:00,414.3185,380.4192,0.95536,292.6476
2014-01-01 06:30,421.3159,362.2614,0.95536,294.0748
2014-01-01 07:00,428.7148,370.0039,0.95536,295.3464
2014-01-01 07:30,432.8823,381.0623,0.95536,296.0023
2014-01-01 08:00,438.4505,378.7166,0.95536,297.0067
2014-01-01 08:30,454.8927,402.0163,0.95536,299.6832
2014-01-01 09:00,451.9528,390.9333,0.95536,299.2631
2014-01-01 09:30,456.9379,393.8936,0.95536,300.0952
2014-01-01 10:00,472.1081,395.2512,0.95642,302.6285
2014-01-01 10:30,483.7148,399.9069,0.95642,304.5076
2014-01-01 11:00,490.6167,402.6656,0.95642,305.6089
2014-01-01 11:30,496.5844,405.3383,0.95642,306.5495
2014-01-01 12:00,501.1578,414.1373,0.95642,307.2178
2014-01-01 12:30,501.8206,420.3752,0.95642,307.2799
2014-01-01 13:00,510.8409,427.9448,0.95642,308.6515
2014-01-01 13:30,510.3073,432.2081,0.95642,308.5386
2014-01-01 14:00,505.4667,431.8427,0.95642,307.7786
2014-01-01 14:30,498.9884,432.6573,0.95642,306.7435
2014-01-01 15:00,479.6465,426.0403,0.95642,303.6539
2014-01-01 15:30,471.3103,422.1855,0.95642,302.3001
2014-01-01 16:00,468.546,422.1815,0.95642,301.8378
2014-01-01 16:30,464.1481,421.4803,0.95642,301.103
2014-01-01 17:00,460.8319,418.373,0.95642,300.5644
2014-01-01 17:30,457.6125,418.2205,0.95642,300.0175
2014-01-01 18:00,453.3449,415.9443,0.95642,299.3034
2014-01-01 18:30,450.7106,413.8817,0.95642,298.865
2014-01-01 19:00,447.0029,413.1465,0.95642,298.2282
2014-01-01 19:30,443.1087,413.8247,0.95642,297.5439
2014-01-01 20:00,440.9035,412.7028,0.95642,297.1659
2014-01-01 20:30,437.5577,415.8819,0.95642,296.5519
2014-01-01 21:00,434.4582,412.9485,0.95642,296.0252
2014-01-01 21:30,432.7519,404.6075,0.95642,295.7863
2014-01-01 22:00,431.6,400.5824,0.95642,295.6122
2014-01-01 22:30,430.299,400.4185,0.95642,295.3811
2014-01-01 23:00,428.2031,399.282,0.95642,295.0144
2014-01-01 23:30,426.562,399.7777,0.95642,294.7154
2014-01-02 00:00,425.8375,398.3123,0.95642,294.5963
2014-01-02 00:30,426.3208,406.1796,0.95642,294.6217
2014-01-02 01:00,425.7731,403.5619,0.95642,294.5435
2014-01-02 01:30,426.1282,402.1812,0.95642,294.6184
2014-01-02 02:00,425.2133,401.2854,0.95642,294.4603
2014-01-02 02:30,424.3138,400.308,0.95642,294.3055
2014-01-02 03:00,423.5726,397.917,0.95642,294.1903
2014-01-02 03:30,422.8586,399.4262,0.95642,294.049
2014-01-02 04:00,422.5904,403.372,0.95642,293.9691
2014-01-02 04:30,424.1447,412.7111,0.95642,294.1771
2014-01-02 05:00,422.5805,409.9244,0.95642,293.9155
2014-01-02 05:30,422.1808,409.4454,0.95642,293.8467
2014-01-02 06:00,423.161,405.7578,0.95642,294.0538
2014-01-02 06:30,427.6921,398.281,0.95642,294.9304
2014-01-02 07:00,437.8297,396.9471,0.95642,296.7456
2014-01-02 07:30,457.0519,411.9384,0.95642,299.9685
2014-01-02 08:00,466.7307,422.7119,0.95642,301.5291
2014-01-02 08:30,477.0462,424.0346,0.95642,303.2394
2014-01-02 09:00,491.3249,431.5529,0.95642,305.5199
2014-01-02 09:30,490.9086,439.5529,0.95642,305.3961
2014-01-02 10:00,500.0793,440.6473,0.95642,306.862
2014-01-02 10:30,501.5775,442.4618,0.95642,307.0882
2014-01-02 11:00,506.4731,444.8341,0.95642,307.8482
2014-01-02 11:30,516.0324,450.7129,0.95642,309.3077
2014-01-02 12:00,534.4586,463.5618,0.95642,312.0541
2014-01-02 12:30,533.134,468.2317,0.95642,311.822
2014-01-02 13:00,516.7789,467.2915,0.95642,309.3114
2014-01-02 13:30,511.5919,466.7617,0.95642,308.5039
2014-01-02 14:00,510.4152,462.5975,0.95642,308.3475
2014-01-02 14:30,508.1143,459.9803,0.95642,308.0031
2014-01-02 15:00,504.4752,459.6669,0.95642,307.4295
2014-01-02 15:30,499.842,461.5835,0.95642,306.6785
2014-01-02 16:00,495.2436,459.6732,0.95642,305.9543
2014-01-02 16:30,489.2602,453.122,0.95642,305.033
2014-01-02 17:00,483.5789,447.6055,0.95642,304.1454
2014-01-02 17:30,479.0075,441.244,0.95642,303.4394
2014-01-02 18:00,459.4392,424.3618,0.95642,300.2833
2014-01-02 18:30,447.4635,416.0586,0.95642,298.2862
2014-01-02 19:00,442.5723,413.7599,0.95642,297.4505
2014-01-02 19:30,439.0604,413.4424,0.95642,296.8359
2014-01-02 20:00,436.7448,414.1558,0.95642,296.4214
2014-01-02 20:30,435.8498,414.843,0.95642,296.2576
2014-01-02 21:00,434.9639,416.5609,0.95642,296.0871
2014-01-02 21:30,435.3312,424.4261,0.95642,296.0915
2014-01-02 22:00,434.5933,423.6808,0.95642,295.9661
2014-01-02 22:30,432.5694,422.5928,0.95642,295.614
2014-01-02 23:00,425.9262,421.2716,0.95642,294.4318
2014-01-02 23:30,424.7124,421.2449,0.95642,294.2125
2014-01-03 00:00,424.4793,421.1462,0.95642,294.1711
2014-01-03 00:30,424.5146,421.6057,0.95642,294.1739
2014-01-03 01:00,424.6692,422.051,0.95642,294.1984
2014-01-03 01:30,424.4536,421.965,0.95642,294.16
2014-01-03 02:00,423.0809,420.7839,0.95642,293.9204
2014-01-03 02:30,422.7067,420.3914,0.95642,293.8556
2014-01-03 03:00,422.6547,420.6234,0.95642,293.8443
2014-01-03 03:30,423.2044,421.112,0.95642,293.9403
2014-01-03 04:00,422.0743,419.9085,0.95642,293.7445
2014-01-03 04:30,421.1613,419.0016,0.95642,293.5855
2014-01-03 05:00,420.1175,417.7894,0.95642,293.4048
2014-01-03 05:30,418.8607,416.3304,0.95642,293.1868
2014-01-03 06:00,418.7489,416.0793,0.95642,293.1683
2014-01-03 06:30,419.6656,416.8531,0.95642,293.3297
2014-01-03 07:00,420.2345,417.5315,0.95642,293.4282
2014-01-03 07:30,421.9367,419.061,0.95642,293.7261
2014-01-03 08:00,422.6986,419.9691,0.95642,293.8575
2014-01-03 08:30,424.5979,421.1122,0.95642,294.1929
2014-01-03 09:00,428.4684,423.9945,0.95642,294.8685
2014-01-03 09:30,430.935,428.3151,0.95642,295.2773
2014-01-03 10:00,436.706,436.0148,0.95642,296.2458
2014-01-03 10:30,441.6086,439.8835,0.95642,297.0816
2014-01-03 11:00,451.5544,445.8467,0.95642,298.7701
2014-01-03 11:30,467.2085,449.2907,0.95642,301.4146
2014-01-03 12:00,470.1027,430.5258,0.95642,302.0376
2014-01-03 12:30,481.687,418.5076,0.95642,304.0432
2014-01-03 13:00,490.1529,424.3185,0.95642,305.3813
2014-01-03 13:30,493.965,428.6409,0.95642,305.9662
2014-01-03 14:00,497.6026,428.4928,0.95642,306.551
2014-01-03 14:30,499.9387,431.1774,0.95642,306.9054
2014-01-03 15:00,503.7559,426.635,0.95642,307.5437
2014-01-03 15:30,498.4128,419.2995,0.95642,306.7445
2014-01-03 16:00,492.6598,423.5719,0.95642,305.7915
