local_time,longwave_u,longwave_d,emis,lst
2011-10-13 14:00,442.6052,368.2657,0.95568,297.813
2011-10-13 14:30,438.6295,364.2771,0.95568,297.1472
2011-10-13 15:00,438.731,355.8462,0.95568,297.2308
2011-10-13 15:30,431.2158,353.7502,0.95568,295.9181
2011-10-13 16:00,427.2166,331.7263,0.95568,295.3784
2011-10-13 16:30,421.003,307.3255,0.95568,294.4554
2011-10-13 17:00,412.7045,303.4075,0.95568,292.9761
2011-10-13 17:30,404.1758,300.1492,0.95568,291.4257
2011-10-13 18:00,395.3926,293.9353,0.95568,289.8268
2011-10-13 18:30,387.0608,291.3915,0.95568,288.2566
2011-10-13 19:00,377.4125,291.1462,0.95568,286.3822
2011-10-13 19:30,370.342,292.2433,0.95568,284.9735
2011-10-13 20:00,366.0307,292.198,0.95568,284.1106
2011-10-13 20:30,363.4124,304.633,0.95568,283.4708
2011-10-13 21:00,358.8516,293.416,0.95568,282.6442
2011-10-13 21:30,354.4002,288.6999,0.95568,281.7734
2011-10-13 22:00,350.2893,286.9992,0.95568,280.9375
2011-10-13 22:30,346.6678,284.3537,0.95568,280.2056
2011-10-13 23:00,343.72,282.3379,0.95568,279.6042
2011-10-13 23:30,340.6709,281.9277,0.95568,278.9624
2011-10-14 00:00,338.8591,281.8014,0.95568,278.5777
2011-10-14 00:30,337.2673,282.3709,0.95568,278.232
2011-10-14 01:00,336.3133,283.2519,0.95568,278.0191
2011-10-14 01:30,334.863,285.8361,0.95568,277.6825
2011-10-14 02:00,335.125,286.4545,0.95568,277.7331
2011-10-14 02:30,333.6224,284.3975,0.95568,277.4286
2011-10-14 03:00,332.9525,287.3056,0.95568,277.2559
2011-10-14 03:30,333.6882,292.9886,0.95568,277.3605
2011-10-14 04:00,332.9688,288.1523,0.95568,277.2513
2011-10-14 04:30,334.4326,298.0409,0.95568,277.473
2011-10-14 05:00,333.0979,285.1767,0.95568,277.3078
2011-10-14 05:30,331.7159,283.1234,0.95568,277.028
2011-10-14 06:00,332.438,286.4161,0.95568,277.153
2011-10-14 06:30,336.8095,282.0409,0.95568,278.1371
2011-10-14 07:00,351.2526,283.7435,0.95568,281.1677
2011-10-14 07:30,368.2846,288.3838,0.95568,284.5967
2011-10-14 08:00,387.4604,295.7269,0.95568,288.2966
2011-10-14 08:30,407.5043,305.0634,0.95568,292.0038
2011-10-14 09:00,423.1104,313.2626,0.95568,294.7881
2011-10-14 09:30,435.0334,317.131,0.95568,296.882
2011-10-14 10:00,445.1035,319.9445,0.95568,298.6201
2011-10-14 10:30,454.3991,322.7636,0.95568,300.1963
2011-10-14 11:00,459.9741,325.101,0.95568,301.125
2011-10-14 11:30,467.9484,326.6744,0.95568,302.4518
2011-10-14 12:00,470.9587,327.9802,0.95568,302.9429
2011-10-14 12:30,475.8559,329.2513,0.95568,303.743
2011-10-14 13:00,475.2048,327.5897,0.95568,303.6478
2011-10-14 13:30,474.7094,328.034,0.95568,303.5629
2011-10-14 14:00,472.6205,329.1118,0.95568,303.2099
2011-10-14 14:30,467.6706,328.0134,0.95568,302.3955
2011-10-14 15:00,462.0552,328.7368,0.95568,301.4489
2011-10-14 15:30,453.3574,326.4057,0.95568,299.9909
2011-10-14 16:00,444.877,327.0987,0.95568,298.5259
2011-10-14 16:30,434.2635,323.8815,0.95568,296.6933
2011-10-14 17:00,424.2783,324.0524,0.95568,294.9122
2011-10-14 17:30,414.8505,323.4652,0.95568,293.2064
2011-10-14 18:00,410.2319,349.2063,0.95568,292.1466
2011-10-14 18:30,409.7545,376.6369,0.95568,291.8329
2011-10-14 19:00,408.6012,387.3695,0.95568,291.53
2011-10-14 19:30,406.3949,374.1041,0.95568,291.2282
2011-10-14 20:00,404.5412,376.9437,0.95568,290.8578
2011-10-14 20:30,405.1754,387.0859,0.95568,290.8924
2011-10-14 21:00,405.5305,388.5959,0.95568,290.9464
2011-10-14 21:30,405.0516,386.3584,0.95568,290.8753
2011-10-14 22:00,404.0642,386.7798,0.95568,290.6865
2011-10-14 22:30,403.486,386.5295,0.95568,290.5799
2011-10-14 23:00,402.3636,381.2864,0.95568,290.4124
2011-10-14 23:30,400.6918,377.817,0.95568,290.1261
2011-10-15 00:00,400.2183,382.5052,0.95568,289.9973
2011-10-15 00:30,398.9944,372.293,0.95568,289.8513
2011-10-15 01:00,393.7551,356.5623,0.95568,288.9869
2011-10-15 01:30,394.0851,367.2747,0.95568,288.9592
2011-10-15 02:00,389.3154,340.5891,0.95568,288.2709
2011-10-15 02:30,381.2468,311.1432,0.95568,286.9595
2011-10-15 03:00,375.148,308.6924,0.95568,285.7828
2011-10-15 03:30,370.4135,306.6886,0.95568,284.8601
2011-10-15 04:00,365.7338,304.5252,0.95568,283.9408
2011-10-15 04:30,362.489,302.9962,0.95568,283.2983
2011-10-15 05:00,359.3027,302.0443,0.95568,282.6582
2011-10-15 05:30,357.0414,300.0805,0.95568,282.213
2011-10-15 06:00,355.5157,298.4241,0.95568,281.9145
2011-10-15 06:30,358.1556,295.3258,0.95568,282.4846
2011-10-15 07:00,371.7688,296.6124,0.95568,285.219
2011-10-15 07:30,390.9065,303.5012,0.95568,288.8919
2011-10-15 08:00,405.4476,309.2735,0.95568,291.5873
2011-10-15 08:30,416.331,312.2465,0.95568,293.5677
2011-10-15 09:00,427.1266,314.798,0.95568,295.4965
2011-10-15 09:30,438.6013,318.1136,0.95568,297.5014
2011-10-15 10:00,453.9039,323.7325,0.95568,300.1045
2011-10-15 10:30,466.8028,328.4229,0.95568,302.2476
2011-10-15 11:00,477.9725,332.5034,0.95568,304.0672
2011-10-15 11:30,485.3915,338.3733,0.95568,305.2352
2011-10-15 12:00,491.8205,345.1264,0.95568,306.2247
2011-10-15 12:30,496.7356,348.7411,0.95568,306.9858
2011-10-15 13:00,500.3221,353.8499,0.95568,307.5202
2011-10-15 13:30,508.9158,356.4178,0.95568,308.8567
2011-10-15 14:00,507.9779,359.9088,0.95568,308.6854
2011-10-15 14:30,497.3878,363.1577,0.95568,306.9879
2011-10-15 15:00,499.8901,361.6077,0.95568,307.3971
2011-10-15 15:30,483.6592,365.377,0.95568,304.7589
2011-10-15 16:00,472.3619,366.836,0.95568,302.8899
2011-10-15 16:30,468.4028,371.6951,0.95568,302.1945
2011-10-15 17:00,464.0925,362.0379,0.95568,301.5434
2011-10-15 17:30,456.4555,350.9994,0.95568,300.3335
2011-10-15 18:00,443.4655,358.9346,0.95568,298.0352
2011-10-15 18:30,434.0929,360.9016,0.95568,296.3728
2011-10-15 19:00,420.6886,356.544,0.95568,294.0034
2011-10-15 19:30,410.5132,346.227,0.95568,292.2231
2011-10-15 20:00,404.5166,345.4954,0.95568,291.1142
2011-10-15 20:30,400.0727,348.2579,0.95568,290.2565
2011-10-15 21:00,397.9842,343.7271,0.95568,289.8997
2011-10-15 21:30,396.156,335.4118,0.95568,289.6229
2011-10-15 22:00,395.8961,340.6095,0.95568,289.5298
2011-10-15 22:30,393.1089,334.8887,0.95568,289.047
2011-10-15 23:00,391.2516,338.9463,0.95568,288.657
2011-10-15 23:30,392.2638,346.7081,0.95568,288.7851
2011-10-16 00:00,405.8618,354.2156,0.95568,291.2933
2011-10-16 00:30,408.6329,347.911,0.95568,291.861
2011-10-16 01:00,407.0405,336.5214,0.95568,291.659
2011-10-16 01:30,405.4189,334.1704,0.95568,291.3764
2011-10-16 02:00,410.0593,332.7825,0.95568,292.2493
