local_time,longwave_u,longwave_d,emis,lst
2013-01-01 15:30,589.8165,425.2897,0.94645,320.6096
2013-01-01 16:00,602.8034,427.0203,0.94645,322.4169
2013-01-01 16:30,583.3083,429.4572,0.94645,319.6538
2013-01-01 17:00,567.6959,431.1122,0.94645,317.3906
2013-01-01 17:30,577.3541,458.2012,0.94645,318.5797
2013-01-01 18:00,556.8754,459.6413,0.94645,315.576
2013-01-01 18:30,546.9608,457.4692,0.94645,314.1135
2013-01-01 19:00,538.036,455.9751,0.94645,312.7756
2013-01-01 19:30,529.9347,453.4726,0.94645,311.5555
2013-01-01 20:00,522.7706,449.9195,0.94645,310.4757
2013-01-01 20:30,516.1042,446.1906,0.94645,309.4642
2013-01-01 21:00,509.773,435.2708,0.94645,308.557
2013-01-01 21:30,504.3268,428.9018,0.94645,307.7443
2013-01-01 22:00,496.2243,420.7081,0.94645,306.512
2013-01-01 22:30,492.4127,414.5938,0.94645,305.9468
2013-01-01 23:00,488.7585,420.989,0.94645,305.2946
2013-01-01 23:30,488.5061,429.4624,0.94645,305.1789
2013-01-02 00:00,488.2076,426.2094,0.94645,305.1585
2013-01-02 00:30,484.9694,419.044,0.94645,304.6895
2013-01-02 01:00,479.0162,402.5051,0.94645,303.8515
2013-01-02 01:30,473.7452,391.6066,0.94645,303.0702
2013-01-02 02:00,470.6467,392.678,0.94645,302.5407
2013-01-02 02:30,468.8609,399.7955,0.94645,302.1755
2013-01-02 03:00,468.0166,405.0804,0.94645,301.985
2013-01-02 03:30,464.6322,401.9582,0.94645,301.4393
2013-01-02 04:00,459.4152,383.5107,0.94645,300.7175
2013-01-02 04:30,454.8324,377.3419,0.94645,299.9864
2013-01-02 05:00,452.4498,373.9042,0.94645,299.6063
2013-01-02 05:30,451.4814,371.0184,0.94645,299.4652
2013-01-02 06:00,452.2063,369.751,0.94645,299.6026
2013-01-02 06:30,463.7026,384.502,0.94645,301.4402
2013-01-02 07:00,481.9861,390.2943,0.94645,304.4515
2013-01-02 07:30,498.4304,385.5558,0.94645,307.1712
2013-01-02 08:00,516.2651,392.092,0.94645,309.9437
2013-01-02 08:30,530.7935,394.8109,0.94645,312.1698
2013-01-02 09:00,546.3472,398.4656,0.94645,314.4955
