local_time,longwave_u,longwave_d,emis,lst
2016-01-01 00:00,384.8749,316.4328,0.94961,287.7045
2016-01-01 00:30,383.4405,315.8668,0.94961,287.4301
2016-01-01 01:00,382.4807,315.5064,0.94961,287.2458
2016-01-01 01:30,381.4784,314.5641,0.94961,287.0585
2016-01-01 02:00,380.7241,314.2283,0.94961,286.9137
2016-01-01 02:30,379.8581,314.2039,0.94961,286.7436
2016-01-01 03:00,378.9914,314.2115,0.94961,286.5727
2016-01-01 03:30,378.0641,313.5215,0.94961,286.3964
2016-01-01 04:00,377.2495,312.8993,0.94961,286.2415
2016-01-01 04:30,376.8203,313.2751,0.94961,286.1527
2016-01-01 05:00,376.2346,312.6066,0.94961,286.0433
2016-01-01 05:30,377.0529,314.9155,0.94961,286.1824
2016-01-01 06:00,382.0361,318.7381,0.94961,287.1267
2016-01-01 06:30,391.8507,321.4487,0.94961,289.0064
2016-01-01 07:00,403.3533,319.9962,0.94961,291.2075
2016-01-01 07:30,415.1985,323.1641,0.94961,293.3801
2016-01-01 08:00,422.7376,335.264,0.95058,294.6297
2016-01-01 08:30,428.7269,364.0776,0.95058,295.4542
2016-01-01 09:00,445.4658,366.3365,0.95058,298.3999
2016-01-01 09:30,467.6107,344.6493,0.95058,302.3726
2016-01-01 10:00,484.9576,344.1109,0.95058,305.2461
2016-01-01 10:30,497.9599,348.5989,0.95058,307.3093
2016-01-01 11:00,510.4936,353.8868,0.95058,309.2521
2016-01-01 11:30,525.4146,359.6156,0.95058,311.5225
2016-01-01 12:00,536.6622,362.2665,0.95058,313.2141
2016-01-01 12:30,543.8553,365.5168,0.95058,314.2703
2016-01-01 13:00,548.3194,370.1071,0.95058,314.9015
2016-01-01 13:30,553.3622,370.6434,0.95058,315.644
2016-01-01 14:00,554.4926,368.654,0.95058,315.825
2016-01-01 14:30,552.7732,375.1807,0.95058,315.524
2016-01-01 15:00,548.6635,378.2986,0.95058,314.8925
2016-01-01 15:30,534.3334,376.2472,0.95058,312.7573
2016-01-01 16:00,511.3184,383.7593,0.95058,309.1499
2016-01-01 16:30,502.086,389.3869,0.95058,307.646
2016-01-01 17:00,492.6257,389.2478,0.95058,306.129
2016-01-01 17:30,481.1395,388.8397,0.95058,304.2582
2016-01-01 18:00,473.3509,385.2894,0.95058,302.9967
