local_time,longwave_u,longwave_d,emis,lst
2013-03-05 15:00,470.2155,355.472,0.97636,302.2115
2013-03-05 15:30,471.0164,358.8317,0.97636,302.3294
2013-03-05 16:00,468.4467,358.1852,0.97636,301.9111
2013-03-05 16:30,466.2631,357.2032,0.97636,301.556
2013-03-05 17:00,463.7479,355.3716,0.97636,301.1481
2013-03-05 17:30,460.204,353.8336,0.97636,300.5665
2013-03-05 18:00,453.6085,351.8889,0.97636,299.4713
2013-03-05 18:30,440.8342,347.6985,0.97636,297.3171
2013-03-05 19:00,426.4367,342.2462,0.97636,294.8346
2013-03-05 19:30,416.628,336.3917,0.97636,293.1158
2013-03-05 20:00,409.2404,332.3752,0.97636,291.7994
2013-03-05 20:30,403.5074,329.4525,0.97636,290.7645
2013-03-05 21:00,398.6633,326.4009,0.97636,289.8839
2013-03-05 21:30,395.3201,324.5472,0.97636,289.2703
2013-03-05 22:00,391.5421,323.172,0.97636,288.5691
2013-03-05 22:30,388.9477,321.1786,0.97636,288.0892
2013-03-05 23:00,385.7636,318.9754,0.97636,287.4958
2013-03-05 23:30,383.748,317.1056,0.97636,287.1205
2013-03-06 00:00,382.1733,316.4523,0.97636,286.8225
2013-03-06 00:30,379.9773,315.1118,0.97636,286.4075
2013-03-06 01:00,377.9966,314.5675,0.97636,286.0285
2013-03-06 01:30,376.0273,313.9085,0.97636,285.6507
2013-03-06 02:00,374.3551,312.1333,0.97636,285.3344
2013-03-06 02:30,372.5995,311.2329,0.97636,284.9966
2013-03-06 03:00,371.4611,310.4036,0.97636,284.7781
2013-03-06 03:30,370.0096,309.5219,0.97636,284.498
2013-03-06 04:00,368.8015,307.7935,0.97636,284.2688
2013-03-06 04:30,367.751,308.0624,0.97636,284.0608
2013-03-06 05:00,365.7971,308.3917,0.97636,283.6736
2013-03-06 05:30,364.7096,308.8383,0.97636,283.4561
2013-03-06 06:00,363.4131,307.8758,0.97636,283.2032
2013-03-06 06:30,363.5998,307.4689,0.97636,283.2423
2013-03-06 07:00,365.8421,305.5268,0.97636,283.6959
2013-03-06 07:30,370.754,307.3938,0.97636,284.6537
2013-03-06 08:00,377.7669,311.1086,0.97636,285.9999
2013-03-06 08:30,386.5717,315.692,0.97636,287.664
2013-03-06 09:00,396.5593,321.8945,0.97636,289.5129
2013-03-06 09:30,406.0025,327.8189,0.97636,291.2288
2013-03-06 10:00,416.9696,335.1595,0.97636,293.1823
2013-03-06 10:30,429.836,344.099,0.97636,295.4241
2013-03-06 11:00,441.0026,351.3878,0.97636,297.331
2013-03-06 11:30,452.7634,360.1667,0.97636,299.2962
2013-03-06 12:00,462.8328,365.3153,0.97636,300.9578
2013-03-06 12:30,470.026,371.3638,0.97636,302.1189
2013-03-06 13:00,474.5029,376.1578,0.97636,302.831
2013-03-06 13:30,474.6488,376.8823,0.97636,302.8519
2013-03-06 14:00,474.4573,377.1647,0.97636,302.8197
2013-03-06 14:30,476.1359,378.3862,0.97636,303.0876
2013-03-06 15:00,477.2504,379.9247,0.97636,303.2623
2013-03-06 15:30,477.8827,382.7599,0.97636,303.3538
2013-03-06 16:00,477.4057,383.7583,0.97636,303.2728
2013-03-06 16:30,475.589,382.93,0.97636,302.9814
2013-03-06 17:00,473.674,381.9111,0.97636,302.6739
2013-03-06 17:30,469.1429,373.9935,0.97636,301.964
2013-03-06 18:00,464.403,373.0614,0.97636,301.1873
2013-03-06 18:30,457.0992,369.4115,0.97636,299.9873
2013-03-06 19:00,449.2737,365.6343,0.97636,298.6848
2013-03-06 19:30,438.3495,366.2521,0.97636,296.8135
2013-03-06 20:00,428.2968,363.1422,0.97636,295.075
2013-03-06 20:30,421.536,357.3511,0.97636,293.9039
2013-03-06 21:00,416.7509,355.4308,0.97636,293.0572
2013-03-06 21:30,412.8337,355.8922,0.97636,292.3498
2013-03-06 22:00,409.6128,354.2791,0.97636,291.7729
2013-03-06 22:30,406.607,349.9385,0.97636,291.2437
2013-03-06 23:00,404.465,351.6424,0.97636,290.844
2013-03-06 23:30,402.8633,357.3195,0.97636,290.5248
2013-03-07 00:00,401.0716,356.8041,0.97636,290.1966
