local_time,longwave_u,longwave_d,emis,lst
2011-12-01 13:30,417.743,358.9206,0.95311,293.4769
2011-12-01 14:00,417.8597,359.9189,0.95311,293.4897
2011-12-01 14:30,426.0214,334.1534,0.95311,295.1894
2011-12-01 15:00,420.4857,351.2145,0.95311,294.0433
2011-12-01 15:30,411.9613,356.7326,0.95311,292.432
2011-12-01 16:00,413.3771,333.658,0.95311,292.8929
2011-12-01 16:30,413.435,314.0508,0.95311,293.0727
2011-12-01 17:00,407.315,305.3216,0.95311,292.0176
2011-12-01 17:30,402.6013,301.2516,0.95311,291.1738
2011-12-01 18:00,396.2668,298.2103,0.95311,290.0065
2011-12-01 18:30,390.7821,295.36,0.95311,288.9863
2011-12-01 19:00,385.9126,292.3917,0.95311,288.0753
2011-12-01 19:30,381.0855,290.2014,0.95311,287.1568
2011-12-01 20:00,376.8138,286.9205,0.95311,286.349
2011-12-01 20:30,374.2957,286.491,0.95311,285.8556
2011-12-01 21:00,372.5612,285.4844,0.95311,285.5208
2011-12-01 21:30,370.0464,283.1462,0.95311,285.0416
2011-12-01 22:00,368.5394,281.019,0.95311,284.7601
2011-12-01 22:30,368.0318,278.6884,0.95311,284.6803
2011-12-01 23:00,366.1965,276.4844,0.95311,284.3324
2011-12-01 23:30,364.5088,274.8997,0.95311,284.0072
2011-12-02 00:00,363.7158,273.4804,0.95311,283.8604
2011-12-02 00:30,362.837,272.1829,0.95311,283.6948
2011-12-02 01:00,362.5096,271.6298,0.95311,283.6337
2011-12-02 01:30,360.9098,273.2854,0.95311,283.293
2011-12-02 02:00,359.4749,272.403,0.95311,283.0091
2011-12-02 02:30,358.3955,271.3663,0.95311,282.7985
2011-12-02 03:00,358.0494,270.941,0.95311,282.7318
2011-12-02 03:30,357.35,270.5102,0.95311,282.5926
2011-12-02 04:00,356.7307,269.981,0.95311,282.4707
2011-12-02 04:30,355.6446,270.1102,0.95311,282.2463
2011-12-02 05:00,354.4237,270.0896,0.95311,281.995
2011-12-02 05:30,354.4295,270.3604,0.95311,281.9936
2011-12-02 06:00,359.0331,272.0797,0.95311,282.922
2011-12-02 06:30,365.4602,275.2417,0.95311,284.1959
2011-12-02 07:00,372.2265,279.5661,0.95311,285.5095
2011-12-02 07:30,379.6796,285.4401,0.95311,286.9255
2011-12-02 08:00,388.3693,290.1702,0.95311,288.5696
2011-12-02 08:30,398.9096,294.554,0.95311,290.5388
2011-12-02 09:00,407.8577,298.2308,0.95311,292.18
2011-12-02 09:30,416.8071,301.7869,0.95311,293.7954
2011-12-02 10:00,426.3368,305.6842,0.95311,295.4857
2011-12-02 10:30,436.4009,309.6983,0.95311,297.2407
2011-12-02 11:00,444.1264,313.1273,0.95311,298.5643
2011-12-02 11:30,451.6153,316.3818,0.95311,299.8314
2011-12-02 12:00,455.3326,317.2678,0.95311,300.4602
2011-12-02 12:30,462.6773,321.3757,0.95311,301.6725
2011-12-02 13:00,463.3192,321.5064,0.95311,301.7796
2011-12-02 13:30,465.4798,325.6264,0.95311,302.1102
2011-12-02 14:00,465.6513,327.0104,0.95311,302.1281
2011-12-02 14:30,462.2258,326.1864,0.95311,301.5584
2011-12-02 15:00,460.1162,327.8001,0.95311,301.1891
2011-12-02 15:30,455.7857,329.7977,0.95311,300.4373
2011-12-02 16:00,453.1452,329.9267,0.95311,299.9848
2011-12-02 16:30,448.4326,330.4751,0.95311,299.1696
2011-12-02 17:00,442.3941,329.3604,0.95311,298.13
2011-12-02 17:30,436.1867,329.6395,0.95311,297.0381
2011-12-02 18:00,428.1585,327.8983,0.95311,295.6255
2011-12-02 18:30,420.9564,324.8947,0.95311,294.353
2011-12-02 19:00,413.1883,320.4517,0.95311,292.9722
2011-12-02 19:30,405.1931,316.3927,0.95311,291.5258
2011-12-02 20:00,398.3003,311.7814,0.95311,290.2711
2011-12-02 20:30,392.9524,307.8385,0.95311,289.2897
2011-12-02 21:00,388.0464,305.0422,0.95311,288.373
2011-12-02 21:30,384.2625,302.2966,0.95311,287.6653
2011-12-02 22:00,381.4714,300.3099,0.95311,287.1396
2011-12-02 22:30,379.442,299.0804,0.95311,286.7536
2011-12-02 23:00,377.4044,298.058,0.95311,286.3624
2011-12-02 23:30,375.5326,296.7729,0.95311,286.0049
2011-12-03 00:00,373.8145,295.6903,0.95311,285.6747
2011-12-03 00:30,372.2692,294.6899,0.95311,285.3769
2011-12-03 01:00,370.8698,294.2437,0.95311,285.1021
2011-12-03 01:30,369.6072,293.7784,0.95311,284.8541
2011-12-03 02:00,368.8305,293.2836,0.95311,284.7032
2011-12-03 02:30,367.8586,292.0087,0.95311,284.5202
2011-12-03 03:00,367.2443,291.3806,0.95311,284.4027
2011-12-03 03:30,366.0527,290.7009,0.95311,284.1692
2011-12-03 04:00,364.3731,290.8115,0.95311,283.829
2011-12-03 04:30,363.1419,290.8089,0.95311,283.5796
2011-12-03 05:00,361.1158,290.8233,0.95311,283.1676
2011-12-03 05:30,362.3148,290.6893,0.95311,283.4128
2011-12-03 06:00,368.8591,292.6537,0.95311,284.7149
2011-12-03 06:30,376.2679,295.4169,0.95311,286.1627
2011-12-03 07:00,383.2803,298.1272,0.95311,287.5123
2011-12-03 07:30,392.4077,301.1339,0.95311,289.2456
2011-12-03 08:00,400.6843,304.4903,0.95311,290.7853
2011-12-03 08:30,412.2597,309.8509,0.95311,292.8927
2011-12-03 09:00,422.0007,314.3782,0.95311,294.6315
2011-12-03 09:30,432.0575,318.3973,0.95311,296.4003
2011-12-03 10:00,441.8554,324.436,0.95311,298.0762
2011-12-03 10:30,450.1026,329.014,0.95311,299.4694
2011-12-03 11:00,459.8358,332.8714,0.95311,301.1013
2011-12-03 11:30,465.8646,337.2687,0.95311,302.0832
2011-12-03 12:00,472.2719,346.1836,0.95311,303.0832
2011-12-03 12:30,470.2585,350.8293,0.95311,302.7118
