local_time,longwave_u,longwave_d,emis,lst
2013-01-01 01:30,376.5939,320.9459,0.95321,285.9895
2013-01-01 02:00,372.8268,319.496,0.95321,285.2552
2013-01-01 02:30,370.7192,317.7996,0.95321,284.8502
2013-01-01 03:00,368.7777,316.9493,0.95321,284.4688
2013-01-01 03:30,367.7332,314.9621,0.95321,284.2775
2013-01-01 04:00,365.8139,313.3798,0.95321,283.9052
2013-01-01 04:30,364.9977,313.1527,0.95321,283.7422
2013-01-01 05:00,364.053,312.6982,0.95321,283.5551
2013-01-01 05:30,364.9525,312.9228,0.95321,283.7353
2013-01-01 06:00,376.1148,313.1355,0.95321,285.967
2013-01-01 06:30,396.9637,319.5774,0.95321,289.9471
2013-01-01 07:00,416.8655,321.905,0.95321,293.632
2013-01-01 07:30,450.9774,330.8248,0.95321,299.6032
2013-01-01 08:00,477.7949,339.0631,0.95321,304.0493
2013-01-01 08:30,504.5772,347.7765,0.95321,308.2994
2013-01-01 09:00,526.4059,354.3004,0.95321,311.6419
2013-01-01 09:30,543.8402,358.9991,0.95321,314.2399
2013-01-01 10:00,558.9112,363.4462,0.9559,316.352
2013-01-01 10:30,567.9984,365.5954,0.9559,317.654
2013-01-01 11:00,573.0361,368.287,0.9559,318.3594
2013-01-01 11:30,579.7761,371.3146,0.9559,319.2996
2013-01-01 12:00,591.4378,373.9068,0.9559,320.9233
2013-01-01 12:30,596.9745,375.3755,0.9559,321.6841
2013-01-01 13:00,597.0678,377.3533,0.9559,321.685
2013-01-01 13:30,599.8147,377.6119,0.9559,322.0633
2013-01-01 14:00,598.1338,379.3182,0.9559,321.8206
2013-01-01 14:30,594.5142,379.0881,0.9559,321.3199
2013-01-01 15:00,591.0296,378.6369,0.9559,320.8372
2013-01-01 15:30,582.3482,378.4571,0.9559,319.6189
2013-01-01 16:00,573.0828,377.4503,0.9559,318.3083
2013-01-01 16:30,564.5616,377.309,0.9559,317.0835
2013-01-01 17:00,551.183,376.2581,0.9559,315.1368
2013-01-01 17:30,533.9963,375.3069,0.9559,312.5792
2013-01-01 18:00,523.3651,373.6037,0.9559,310.9727
2013-01-01 18:30,510.9213,371.3911,0.9559,309.0615
2013-01-01 19:00,497.9739,368.6877,0.9559,307.0375
2013-01-01 19:30,484.2768,365.7682,0.9559,304.8522
2013-01-01 20:00,454.4355,354.5318,0.9559,299.9582
2013-01-01 20:30,431.8409,349.8193,0.9559,296.0569
2013-01-01 21:00,426.8349,348.3308,0.9559,295.1749
2013-01-01 21:30,425.0745,350.478,0.9559,294.8416
2013-01-01 22:00,414.4695,347.9173,0.9559,292.9352
2013-01-01 22:30,415.6731,350.3456,0.9559,293.1362
2013-01-01 23:00,419.2727,354.1936,0.9559,293.7622
2013-01-01 23:30,424.3906,349.6762,0.9559,294.7249
2013-01-02 00:00,429.1122,348.8895,0.9559,295.5781
2013-01-02 00:30,428.9345,347.1157,0.9559,295.5603
2013-01-02 01:00,423.6606,341.0507,0.9559,294.6619
2013-01-02 01:30,412.9864,335.2124,0.9559,292.7657
2013-01-02 02:00,404.15,327.1658,0.9559,291.1942
2013-01-02 02:30,405.5465,324.9713,0.9559,291.4727
2013-01-02 03:00,399.5888,322.4835,0.9559,290.3773
2013-01-02 03:30,397.3011,317.8627,0.9559,289.9839
2013-01-02 04:00,394.3631,314.7129,0.9559,289.4531
2013-01-02 04:30,387.7363,309.7958,0.9559,288.2262
2013-01-02 05:00,381.6292,307.0331,0.9559,287.0663
2013-01-02 05:30,379.0737,305.7904,0.9559,286.5775
2013-01-02 06:00,384.9679,305.9562,0.9559,287.7242
2013-01-02 06:30,400.0063,308.6662,0.9559,290.5705
2013-01-02 07:00,412.9104,311.6467,0.9559,292.9426
2013-01-02 07:30,427.1643,316.3984,0.9559,295.486
2013-01-02 08:00,442.5319,319.8666,0.9559,298.1693
2013-01-02 08:30,459.8944,324.0177,0.9559,301.1144
2013-01-02 09:00,479.3042,328.1052,0.9559,304.3117
2013-01-02 09:30,495.5381,331.5169,0.9559,306.9105
2013-01-02 10:00,506.1056,337.0983,0.9559,308.5441
2013-01-02 10:30,524.3656,340.5988,0.9559,311.3487
2013-01-02 11:00,537.7949,344.3573,0.9559,313.3561
2013-01-02 11:30,548.4146,343.1145,0.9559,314.9441
2013-01-02 12:00,554.5609,344.0358,0.9559,315.8417
2013-01-02 12:30,563.4498,344.8222,0.9559,317.13
2013-01-02 13:00,565.6165,343.6583,0.9559,317.4502
2013-01-02 13:30,568.2677,343.0305,0.9559,317.8357
2013-01-02 14:00,569.4995,343.0941,0.9559,318.0121
2013-01-02 14:30,566.9081,344.9362,0.9559,317.6282
2013-01-02 15:00,560.2449,344.9488,0.9559,316.6646
2013-01-02 15:30,554.0828,344.7878,0.9559,315.7668
2013-01-02 16:00,549.0438,349.4206,0.9559,314.9959
2013-01-02 16:30,536.188,349.8666,0.9559,313.0784
2013-01-02 17:00,527.0936,351.5357,0.9559,311.6913
2013-01-02 17:30,515.2358,352.1289,0.9559,309.8652
2013-01-02 18:00,503.7108,352.7254,0.9559,308.0587
2013-01-02 18:30,490.9023,351.9999,0.9559,306.0229
2013-01-02 19:00,476.8485,351.1721,0.9559,303.7417
2013-01-02 19:30,461.6427,350.3545,0.9559,301.2135
2013-01-02 20:00,443.45,346.714,0.9559,298.123
2013-01-02 20:30,420.8136,341.7412,0.9559,294.1417
2013-01-02 21:00,415.915,338.6101,0.9559,293.2751
2013-01-02 21:30,416.4119,338.1648,0.9559,293.3695
2013-01-02 22:00,421.589,340.3856,0.9559,294.293
2013-01-02 22:30,410.7903,341.3804,0.9559,292.311
2013-01-02 23:00,407.4358,341.5383,0.9559,291.6883
2013-01-02 23:30,410.8234,341.3242,0.9559,292.3176
2013-01-03 00:00,413.3845,340.7521,0.9559,292.794
2013-01-03 00:30,408.9717,336.9764,0.9559,292.0106
2013-01-03 01:00,399.2373,335.2718,0.9559,290.2047
2013-01-03 01:30,386.6372,334.4969,0.9559,287.8037
2013-01-03 02:00,386.8001,334.2762,0.9559,287.8371
2013-01-03 02:30,382.8357,333.1543,0.9559,287.0769
2013-01-03 03:00,380.5281,330.8799,0.9559,286.6456
2013-01-03 03:30,378.1798,328.9424,0.9559,286.2015
2013-01-03 04:00,383.3008,326.2521,0.9559,287.2268
2013-01-03 04:30,394.924,327.722,0.9559,289.4506
2013-01-03 05:00,397.6093,328.5814,0.9559,289.9528
2013-01-03 05:30,398.6717,328.4487,0.9559,290.1547
2013-01-03 06:00,402.4762,329.0917,0.9559,290.8651
2013-01-03 06:30,412.2413,331.537,0.9559,292.6585
2013-01-03 07:00,425.873,335.3227,0.9559,295.1052
2013-01-03 07:30,440.1071,339.8147,0.9559,297.5926
2013-01-03 08:00,456.2106,344.5155,0.9559,300.3364
2013-01-03 08:30,474.0298,349.6858,0.9559,303.2875
2013-01-03 09:00,493.0098,355.2721,0.9559,306.3384
2013-01-03 09:30,510.6096,359.9822,0.9559,309.0914
2013-01-03 10:00,527.6044,365.9076,0.9559,311.6725
2013-01-03 10:30,543.939,371.7814,0.9559,314.0932
2013-01-03 11:00,560.3738,376.807,0.9559,316.4791
2013-01-03 11:30,574.0266,381.8811,0.9559,318.4153
2013-01-03 12:00,587.4285,386.8832,0.9559,320.282
2013-01-03 12:30,595.7035,390.8822,0.9559,321.4129
2013-01-03 13:00,599.3023,391.8975,0.9559,321.9055
